time_s,x,y,station_m,segment_id,nlos_region,serving_hawk,rssi_dbm
3.00,6.66,0.00,6.66,arranque,LOS,H0,-32.07
4.00,8.88,0.00,8.88,arranque,LOS,H0,-34.44
5.00,11.10,0.00,11.10,arranque,LOS,H0,-36.28
6.00,13.32,0.00,13.32,arranque,LOS,H0,-37.79
7.00,15.54,0.00,15.54,arranque,LOS,H0,-39.06
8.00,17.76,0.00,17.76,arranque,LOS,H0,-40.16
9.00,19.98,0.00,19.98,arranque,LOS,H0,-41.13
10.00,22.20,0.00,22.20,arranque,LOS,H0,-42.00
11.00,24.42,0.00,24.42,acceso_galeria,LOS,H0,-42.79
12.00,26.64,0.00,26.64,acceso_galeria,LOS,H0,-43.51
13.00,28.86,0.00,28.86,acceso_galeria,LOS,H0,-44.17
14.00,31.08,0.00,31.08,acceso_galeria,LOS,H0,-44.78
15.00,33.30,0.00,33.30,acceso_galeria,LOS,H0,-45.35
16.00,35.52,0.00,35.52,acceso_galeria,LOS,H0,-45.88
17.00,37.74,0.00,37.74,acceso_galeria,LOS,H0,-46.38
18.00,39.96,0.00,39.96,acceso_galeria,Giro-D-GaleriaPrincipal,H0,-56.85
19.00,42.18,0.00,42.18,acceso_galeria,Giro-D-GaleriaPrincipal,H0,-57.64
20.00,44.40,0.00,44.40,acceso_galeria,Giro-D-GaleriaPrincipal,H0,-58.40
21.00,46.62,0.00,46.62,acceso_galeria,Giro-D-GaleriaPrincipal,H0,-59.12
22.00,48.84,0.00,48.84,acceso_galeria,Giro-D-GaleriaPrincipal,H0,-59.81
23.00,51.06,0.00,51.06,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-59.84
24.00,53.28,0.00,53.28,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-59.15
25.00,55.50,0.00,55.50,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-58.43
26.00,57.72,0.00,57.72,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-57.68
27.00,59.94,0.00,59.94,LOS1_galeria,LOS,H1,-46.88
28.00,62.16,0.00,62.16,LOS1_galeria,LOS,H1,-46.40
29.00,64.38,0.00,64.38,LOS1_galeria,LOS,H1,-45.90
30.00,66.60,0.00,66.60,LOS1_galeria,LOS,H1,-45.37
