time_s,x,y,station_m,segment_id,nlos_region,serving_hawk,rssi_dbm
3.00,9.99,0.00,9.99,arranque,LOS,H0,-19.61
4.00,13.32,0.00,13.32,arranque,LOS,H0,-21.99
5.00,16.65,0.00,16.65,arranque,LOS,H0,-23.83
6.00,19.98,0.00,19.98,arranque,LOS,H0,-25.33
7.00,23.31,0.00,23.31,acceso_galeria,LOS,H0,-26.60
8.00,26.64,0.00,26.64,acceso_galeria,LOS,H1,-26.22
9.00,29.97,0.00,29.97,acceso_galeria,LOS,H1,-24.89
10.00,33.30,0.00,33.30,acceso_galeria,LOS,H1,-23.29
11.00,36.63,0.00,36.63,acceso_galeria,LOS,H1,-21.31
12.00,39.96,0.00,39.96,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-18.70
13.00,43.29,0.00,43.29,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-14.85
14.00,46.62,0.00,46.62,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-7.42
15.00,49.95,0.00,49.95,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-1.02
16.00,53.28,0.00,53.28,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-12.81
17.00,56.61,0.00,56.61,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-17.48
18.00,59.94,0.00,59.94,LOS1_galeria,LOS,H1,-20.44
19.00,63.27,0.00,63.27,LOS1_galeria,LOS,H1,-22.61
20.00,66.60,0.00,66.60,LOS1_galeria,LOS,H1,-24.33
21.00,69.93,0.00,69.93,LOS1_galeria,LOS,H1,-25.76
22.00,73.26,0.00,73.26,LOS1_galeria,LOS,H1,-26.97
23.00,76.59,0.00,76.59,LOS1_galeria,LOS,H1,-28.03
24.00,79.92,0.00,79.92,LOS1_galeria,LOS,H1,-28.96
25.00,83.25,0.00,83.25,LOS1_galeria,LOS,H1,-29.80
26.00,86.58,0.00,86.58,LOS1_galeria,LOS,H1,-30.57
27.00,89.91,0.00,89.91,LOS1_galeria,LOS,H1,-31.43
28.00,93.24,0.00,93.24,LOS1_galeria,LOS,H1,-32.58
29.00,96.57,0.00,96.57,LOS1_galeria,LOS,H1,-33.65
30.00,99.90,0.00,99.90,LOS1_galeria,LOS,H1,-34.65
31.00,103.23,0.00,103.23,LOS1_galeria,LOS,H1,-35.58
32.00,106.56,0.00,106.56,LOS1_galeria,LOS,H1,-36.46
33.00,109.89,0.00,109.89,LOS1_galeria,LOS,H1,-37.29
34.00,113.22,0.00,113.22,LOS1_galeria,LOS,H1,-38.07
35.00,116.55,0.00,116.55,LOS1_galeria,LOS,H2,-38.71
36.00,119.88,0.00,119.88,LOS1_galeria,LOS,H2,-37.96
37.00,123.21,0.00,123.21,LOS1_galeria,LOS,H2,-37.17
38.00,126.54,0.00,126.54,LOS1_galeria,LOS,H2,-36.33
39.00,129.87,0.00,129.87,LOS1_galeria,LOS,H2,-35.45
40.00,133.20,0.00,133.20,LOS1_galeria,LOS,H2,-34.50
41.00,136.53,0.00,136.53,LOS1_galeria,LOS,H2,-33.49
42.00,139.86,0.00,139.86,LOS1_galeria,LOS,H2,-32.41
43.00,143.19,0.00,143.19,LOS1_galeria,LOS,H2,-31.25
44.00,146.52,0.00,146.52,LOS1_galeria,LOS,H2,-30.46
45.00,149.85,0.00,149.85,LOS1_galeria,LOS,H2,-29.68
46.00,153.18,0.00,153.18,LOS1_galeria,LOS,H2,-28.83
47.00,156.51,0.00,156.51,LOS1_galeria,LOS,H2,-27.87
48.00,159.84,0.00,159.84,LOS1_galeria,LOS,H2,-26.80
49.00,163.17,0.00,163.17,LOS1_galeria,LOS,H2,-25.56
50.00,166.50,0.00,166.50,LOS1_galeria,LOS,H2,-24.10
51.00,169.83,0.00,169.83,LOS1_galeria,LOS,H2,-22.32
