time_s,x,y,station_m,segment_id,nlos_region,serving_hawk,rssi_dbm
3.00,6.66,0.00,6.66,arranque,LOS,H0,-16.27
4.00,8.88,0.00,8.88,arranque,LOS,H0,-18.64
5.00,11.10,0.00,11.10,arranque,LOS,H0,-20.48
6.00,13.32,0.00,13.32,arranque,LOS,H0,-21.99
7.00,15.54,0.00,15.54,arranque,LOS,H0,-23.26
8.00,17.76,0.00,17.76,arranque,LOS,H0,-24.36
9.00,19.98,0.00,19.98,arranque,LOS,H0,-25.33
10.00,22.20,0.00,22.20,arranque,LOS,H0,-26.20
11.00,24.42,0.00,24.42,acceso_galeria,LOS,H0,-26.99
12.00,26.64,0.00,26.64,acceso_galeria,LOS,H1,-26.22
13.00,28.86,0.00,28.86,acceso_galeria,LOS,H1,-25.36
14.00,31.08,0.00,31.08,acceso_galeria,LOS,H1,-24.39
15.00,33.30,0.00,33.30,acceso_galeria,LOS,H1,-23.29
16.00,35.52,0.00,35.52,acceso_galeria,LOS,H1,-22.02
17.00,37.74,0.00,37.74,acceso_galeria,LOS,H1,-20.53
18.00,39.96,0.00,39.96,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-18.70
19.00,42.18,0.00,42.18,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-16.34
20.00,44.40,0.00,44.40,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-13.03
21.00,46.62,0.00,46.62,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-7.42
22.00,48.84,0.00,48.84,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-0.62
23.00,51.06,0.00,51.06,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-6.98
24.00,53.28,0.00,53.28,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-12.81
25.00,55.50,0.00,55.50,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-16.19
26.00,57.72,0.00,57.72,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-18.59
27.00,59.94,0.00,59.94,LOS1_galeria,LOS,H1,-20.44
28.00,62.16,0.00,62.16,LOS1_galeria,LOS,H1,-21.95
29.00,64.38,0.00,64.38,LOS1_galeria,LOS,H1,-23.23
30.00,66.60,0.00,66.60,LOS1_galeria,LOS,H1,-24.33
31.00,68.82,0.00,68.82,LOS1_galeria,LOS,H1,-25.31
32.00,71.04,0.00,71.04,LOS1_galeria,LOS,H1,-26.18
33.00,73.26,0.00,73.26,LOS1_galeria,LOS,H1,-26.97
34.00,75.48,0.00,75.48,LOS1_galeria,LOS,H1,-27.69
35.00,77.70,0.00,77.70,LOS1_galeria,LOS,H1,-28.35
36.00,79.92,0.00,79.92,LOS1_galeria,LOS,H1,-28.96
37.00,82.14,0.00,82.14,LOS1_galeria,LOS,H1,-29.53
38.00,84.36,0.00,84.36,LOS1_galeria,LOS,H1,-30.07
39.00,86.58,0.00,86.58,LOS1_galeria,LOS,H1,-30.57
40.00,88.80,0.00,88.80,LOS1_galeria,LOS,H1,-31.04
41.00,91.02,0.00,91.02,LOS1_galeria,LOS,H1,-31.82
42.00,93.24,0.00,93.24,LOS1_galeria,LOS,H1,-32.58
43.00,95.46,0.00,95.46,LOS1_galeria,LOS,H1,-33.30
44.00,97.68,0.00,97.68,LOS1_galeria,LOS,H1,-33.99
45.00,99.90,0.00,99.90,LOS1_galeria,LOS,H1,-34.65
46.00,102.12,0.00,102.12,LOS1_galeria,LOS,H1,-35.28
47.00,104.34,0.00,104.34,LOS1_galeria,LOS,H1,-35.88
48.00,106.56,0.00,106.56,LOS1_galeria,LOS,H1,-36.46
49.00,108.78,0.00,108.78,LOS1_galeria,LOS,H1,-37.02
50.00,111.00,0.00,111.00,LOS1_galeria,LOS,H1,-37.56
51.00,113.22,0.00,113.22,LOS1_galeria,LOS,H1,-38.07
52.00,115.44,0.00,115.44,LOS1_galeria,LOS,H1,-38.58
53.00,117.66,0.00,117.66,LOS1_galeria,LOS,H2,-38.46
54.00,119.88,0.00,119.88,LOS1_galeria,LOS,H2,-37.96
55.00,122.10,0.00,122.10,LOS1_galeria,LOS,H2,-37.44
56.00,124.32,0.00,124.32,LOS1_galeria,LOS,H2,-36.89
57.00,126.54,0.00,126.54,LOS1_galeria,LOS,H2,-36.33
58.00,128.76,0.00,128.76,LOS1_galeria,LOS,H2,-35.75
59.00,130.98,0.00,130.98,LOS1_galeria,LOS,H2,-35.14
60.00,133.20,0.00,133.20,LOS1_galeria,LOS,H2,-34.50
61.00,135.42,0.00,135.42,LOS1_galeria,LOS,H2,-33.84
62.00,137.64,0.00,137.64,LOS1_galeria,LOS,H2,-33.14
63.00,139.86,0.00,139.86,LOS1_galeria,LOS,H2,-32.41
64.00,142.08,0.00,142.08,LOS1_galeria,LOS,H2,-31.65
65.00,144.30,0.00,144.30,LOS1_galeria,LOS,H2,-30.94
66.00,146.52,0.00,146.52,LOS1_galeria,LOS,H2,-30.46
67.00,148.74,0.00,148.74,LOS1_galeria,LOS,H2,-29.95
68.00,150.96,0.00,150.96,LOS1_galeria,LOS,H2,-29.41
69.00,153.18,0.00,153.18,LOS1_galeria,LOS,H2,-28.83
70.00,155.40,0.00,155.40,LOS1_galeria,LOS,H2,-28.21
71.00,157.62,0.00,157.62,LOS1_galeria,LOS,H2,-27.53
72.00,159.84,0.00,159.84,LOS1_galeria,LOS,H2,-26.80
73.00,162.06,0.00,162.06,LOS1_galeria,LOS,H2,-25.99
74.00,164.28,0.00,164.28,LOS1_galeria,LOS,H2,-25.10
75.00,166.50,0.00,166.50,LOS1_galeria,LOS,H2,-24.10
76.00,168.72,0.00,168.72,LOS1_galeria,LOS,H2,-22.96
77.00,170.94,0.00,170.94,LOS1_galeria,LOS,H2,-21.63
