time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.17,0.00,0.17
63.74,deassoc,H0,183.70,28.54,212.24
63.74,assoc,H1,183.70,28.55,212.25
80.11,deassoc,H1,183.70,55.90,239.60
80.42,deassoc,H1,183.70,55.90,239.60
80.72,deassoc,H1,183.70,55.90,239.60
80.78,assoc,CardFijo,183.70,55.90,239.60
113.36,deassoc,CardFijo,215.73,0.00,215.73
113.36,assoc,H2,215.73,0.00,215.73
167.07,deassoc,H2,318.50,51.80,426.20
167.38,deassoc,H2,318.50,51.80,426.20
167.43,assoc,H4,318.50,51.80,426.20
243.09,deassoc,H4,192.75,0.00,192.75
243.09,assoc,H3,192.75,0.00,192.75
246.67,deassoc,H3,183.70,2.86,186.56
246.72,assoc,CardFijo,183.70,3.03,186.73
257.84,deassoc,CardFijo,183.70,40.07,223.77
258.15,deassoc,CardFijo,183.70,41.09,224.79
258.46,deassoc,CardFijo,183.70,42.12,225.82
258.46,assoc,H2,183.70,42.12,225.82
