time_s,x,y,station_m,segment_id,nlos_region,serving_hawk,rssi_dbm
3.00,6.66,0.00,6.66,arranque,LOS,H0,-25.67
4.00,8.88,0.00,8.88,arranque,LOS,H0,-28.04
5.00,11.10,0.00,11.10,arranque,LOS,H0,-29.88
6.00,13.32,0.00,13.32,arranque,LOS,H0,-31.39
7.00,15.54,0.00,15.54,arranque,LOS,H0,-32.66
8.00,17.76,0.00,17.76,arranque,LOS,H0,-33.76
9.00,19.98,0.00,19.98,arranque,LOS,H0,-34.73
10.00,22.20,0.00,22.20,arranque,LOS,H0,-35.60
11.00,24.42,0.00,24.42,acceso_galeria,LOS,H0,-36.39
12.00,26.64,0.00,26.64,acceso_galeria,LOS,H1,-35.62
13.00,28.86,0.00,28.86,acceso_galeria,LOS,H1,-34.76
14.00,31.08,0.00,31.08,acceso_galeria,LOS,H1,-33.79
15.00,33.30,0.00,33.30,acceso_galeria,LOS,H1,-32.69
16.00,35.52,0.00,35.52,acceso_galeria,LOS,H1,-31.42
17.00,37.74,0.00,37.74,acceso_galeria,LOS,H1,-29.93
18.00,39.96,0.00,39.96,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-28.10
19.00,42.18,0.00,42.18,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-25.74
20.00,44.40,0.00,44.40,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-22.43
21.00,46.62,0.00,46.62,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-16.82
22.00,48.84,0.00,48.84,acceso_galeria,Giro-D-GaleriaPrincipal,H1,-10.02
23.00,51.06,0.00,51.06,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-16.38
24.00,53.28,0.00,53.28,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-22.21
25.00,55.50,0.00,55.50,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-25.59
26.00,57.72,0.00,57.72,LOS1_galeria,Giro-D-GaleriaPrincipal,H1,-27.99
27.00,59.94,0.00,59.94,LOS1_galeria,LOS,H1,-29.84
28.00,62.16,0.00,62.16,LOS1_galeria,LOS,H1,-31.35
29.00,64.38,0.00,64.38,LOS1_galeria,LOS,H1,-32.63
30.00,66.60,0.00,66.60,LOS1_galeria,LOS,H1,-33.73
31.00,68.82,0.00,68.82,LOS1_galeria,LOS,H1,-34.71
32.00,71.04,0.00,71.04,LOS1_galeria,LOS,H1,-35.58
33.00,73.26,0.00,73.26,LOS1_galeria,LOS,H1,-36.37
34.00,75.48,0.00,75.48,LOS1_galeria,LOS,H1,-37.09
35.00,77.70,0.00,77.70,LOS1_galeria,LOS,H1,-37.75
36.00,79.92,0.00,79.92,LOS1_galeria,LOS,H1,-38.36
37.00,82.14,0.00,82.14,LOS1_galeria,LOS,H1,-38.93
38.00,84.36,0.00,84.36,LOS1_galeria,LOS,H1,-39.47
39.00,86.58,0.00,86.58,LOS1_galeria,LOS,H1,-39.97
40.00,88.80,0.00,88.80,LOS1_galeria,LOS,H1,-40.44
41.00,91.02,0.00,91.02,LOS1_galeria,LOS,H1,-41.22
42.00,93.24,0.00,93.24,LOS1_galeria,LOS,H1,-41.98
43.00,95.46,0.00,95.46,LOS1_galeria,LOS,H1,-42.70
44.00,97.68,0.00,97.68,LOS1_galeria,LOS,H1,-43.39
45.00,99.90,0.00,99.90,LOS1_galeria,LOS,H1,-44.05
46.00,102.12,0.00,102.12,LOS1_galeria,LOS,H1,-44.68
47.00,104.34,0.00,104.34,LOS1_galeria,LOS,H1,-45.28
48.00,106.56,0.00,106.56,LOS1_galeria,LOS,H1,-45.86
49.00,108.78,0.00,108.78,LOS1_galeria,LOS,H1,-46.42
50.00,111.00,0.00,111.00,LOS1_galeria,LOS,H1,-46.96
51.00,113.22,0.00,113.22,LOS1_galeria,LOS,H1,-47.47
52.00,115.44,0.00,115.44,LOS1_galeria,LOS,H1,-47.98
53.00,117.66,0.00,117.66,LOS1_galeria,LOS,H2,-47.86
54.00,119.88,0.00,119.88,LOS1_galeria,LOS,H2,-47.36
55.00,122.10,0.00,122.10,LOS1_galeria,LOS,H2,-46.84
56.00,124.32,0.00,124.32,LOS1_galeria,LOS,H2,-46.29
57.00,126.54,0.00,126.54,LOS1_galeria,LOS,H2,-45.73
58.00,128.76,0.00,128.76,LOS1_galeria,LOS,H2,-45.15
59.00,130.98,0.00,130.98,LOS1_galeria,LOS,H2,-44.54
60.00,133.20,0.00,133.20,LOS1_galeria,LOS,H2,-43.90
61.00,135.42,0.00,135.42,LOS1_galeria,LOS,H2,-43.24
62.00,137.64,0.00,137.64,LOS1_galeria,LOS,H2,-42.54
63.00,139.86,0.00,139.86,LOS1_galeria,LOS,H2,-41.81
64.00,142.08,0.00,142.08,LOS1_galeria,LOS,H2,-41.05
65.00,144.30,0.00,144.30,LOS1_galeria,LOS,H2,-40.34
66.00,146.52,0.00,146.52,LOS1_galeria,LOS,H2,-39.86
67.00,148.74,0.00,148.74,LOS1_galeria,LOS,H2,-39.35
68.00,150.96,0.00,150.96,LOS1_galeria,LOS,H2,-38.81
69.00,153.18,0.00,153.18,LOS1_galeria,LOS,H2,-38.23
70.00,155.40,0.00,155.40,LOS1_galeria,LOS,H2,-37.61
71.00,157.62,0.00,157.62,LOS1_galeria,LOS,H2,-36.93
72.00,159.84,0.00,159.84,LOS1_galeria,LOS,H2,-36.20
73.00,162.06,0.00,162.06,LOS1_galeria,LOS,H2,-35.39
74.00,164.28,0.00,164.28,LOS1_galeria,LOS,H2,-34.50
75.00,166.50,0.00,166.50,LOS1_galeria,LOS,H2,-33.50
76.00,168.72,0.00,168.72,LOS1_galeria,LOS,H2,-32.36
77.00,170.94,0.00,170.94,LOS1_galeria,LOS,H2,-31.03
78.00,173.16,0.00,173.16,LOS1_galeria,LOS,H2,-29.46
79.00,175.38,0.00,175.38,LOS1_galeria,Giro-D-RamalBP,H2,-27.50
80.00,177.60,0.00,177.60,LOS1_galeria,Giro-D-RamalBP,H2,-24.94
81.00,179.82,0.00,179.82,LOS1_galeria,Giro-D-RamalBP,H2,-21.21
82.00,182.04,0.00,182.04,LOS1_galeria,Giro-D-RamalBP,H2,-14.20
83.00,183.70,0.56,183.70,LOS2_galeria,Giro-D-RamalBP,H2,-10.02
84.00,183.70,2.78,186.48,ramal_bp,Transicion-BP,H2,-28.46
85.00,183.70,5.00,188.70,ramal_bp,Transicion-BP,H2,-33.30
86.00,183.70,7.22,190.92,ramal_bp,Transicion-BP,H2,-36.33
87.00,183.70,9.44,193.14,ramal_bp,Transicion-BP,H2,-38.55
88.00,183.70,11.66,195.36,ramal_bp,Transicion-BP,H2,-40.29
89.00,183.70,13.88,197.58,ramal_bp,Transicion-BP,H2,-41.73
90.00,183.70,16.10,199.80,ramal_bp,Transicion-BP,H2,-42.95
91.00,183.70,18.32,202.02,ramal_bp,Transicion-BP,H2,-44.02
92.00,183.70,20.54,204.24,ramal_bp,Transicion-BP,H2,-44.96
93.00,183.70,22.76,206.46,ramal_bp,Transicion-BP,H2,-45.81
94.00,183.70,24.98,208.68,ramal_bp,Transicion-BP,H2,-46.58
95.00,183.70,27.20,210.90,ramal_bp,Transicion-BP,H2,-47.28
96.00,183.70,29.42,213.12,ramal_bp,Transicion-BP,H2,-47.93
97.00,183.70,31.64,215.34,ramal_bp,Transicion-BP,H2,-48.53
98.00,183.70,33.86,217.56,ramal_bp,Transicion-BP,H2,-49.09
99.00,183.70,36.08,219.78,ramal_bp,Transicion-BP,H2,-49.61
100.00,183.70,38.30,222.00,ramal_bp,Transicion-BP,H2,-50.10
101.00,183.70,40.52,224.22,ramal_bp,Transicion-BP,H2,-50.65
102.00,183.70,42.74,226.44,ramal_bp,Transicion-BP,H2,-51.44
103.00,183.70,44.96,228.66,ramal_bp,Transicion-BP,H2,-52.19
104.00,183.70,47.18,230.88,ramal_bp,Transicion-BP,H2,-52.90
105.00,183.70,49.40,233.10,ramal_bp,Transicion-BP,H2,-53.58
106.00,183.70,51.62,235.32,ramal_bp,Transicion-BP,H2,-54.23
107.00,183.70,53.84,237.54,ramal_bp,Transicion-BP,H2,-54.85
108.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
109.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
110.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
111.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
112.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
113.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
114.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
115.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
116.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
117.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
118.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
119.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
120.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
121.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
122.00,183.70,55.90,239.60,ramal_bp,Transicion-BP,H2,-55.40
123.00,183.70,55.74,239.44,ramal_bp,Transicion-BP,H2,-55.36
124.00,183.70,53.52,237.22,ramal_bp,Transicion-BP,H2,-54.76
125.00,183.70,51.30,235.00,ramal_bp,Transicion-BP,H2,-54.13
126.00,183.70,49.08,232.78,ramal_bp,Transicion-BP,H2,-53.48
127.00,183.70,46.86,230.56,ramal_bp,Transicion-BP,H2,-52.80
128.00,183.70,44.64,228.34,ramal_bp,Transicion-BP,H2,-52.08
129.00,183.70,42.42,226.12,ramal_bp,Transicion-BP,H2,-51.33
130.00,183.70,40.20,223.90,ramal_bp,Transicion-BP,H2,-50.53
131.00,183.70,37.98,221.68,ramal_bp,Transicion-BP,H2,-50.03
132.00,183.70,35.76,219.46,ramal_bp,Transicion-BP,H2,-49.54
133.00,183.70,33.54,217.24,ramal_bp,Transicion-BP,H2,-49.01
134.00,183.70,31.32,215.02,ramal_bp,Transicion-BP,H2,-48.44
135.00,183.70,29.10,212.80,ramal_bp,Transicion-BP,H2,-47.84
136.00,183.70,26.88,210.58,ramal_bp,Transicion-BP,H2,-47.18
137.00,183.70,24.66,208.36,ramal_bp,Transicion-BP,H2,-46.47
138.00,183.70,22.44,206.14,ramal_bp,Transicion-BP,H2,-45.69
139.00,183.70,20.22,203.92,ramal_bp,Transicion-BP,H2,-44.83
140.00,183.70,18.00,201.70,ramal_bp,Transicion-BP,H2,-43.87
141.00,183.70,15.78,199.48,ramal_bp,Transicion-BP,H2,-42.79
142.00,183.70,13.56,197.26,ramal_bp,Transicion-BP,H2,-41.53
143.00,183.70,11.34,195.04,ramal_bp,Transicion-BP,H2,-40.06
144.00,183.70,9.12,192.82,ramal_bp,Transicion-BP,H2,-38.26
145.00,183.70,6.90,190.60,ramal_bp,Transicion-BP,H2,-35.96
146.00,183.70,4.68,188.38,ramal_bp,Transicion-BP,H2,-32.76
147.00,183.70,2.46,186.16,ramal_bp,Transicion-BP,H2,-27.45
148.00,183.70,0.24,183.70,LOS2_galeria,Giro-D-RamalBP,H2,-10.02
149.00,185.68,0.00,185.68,LOS2_galeria,Giro-D-RamalBP,H2,-15.66
150.00,187.90,0.00,187.90,LOS2_galeria,Giro-D-RamalBP,H2,-21.86
151.00,190.12,0.00,190.12,LOS2_galeria,Giro-D-RamalBP,H2,-25.36
152.00,192.34,0.00,192.34,LOS2_galeria,Giro-D-RamalBP,H2,-27.81
153.00,194.56,0.00,194.56,LOS2_galeria,LOS,H2,-29.70
154.00,196.78,0.00,196.78,LOS2_galeria,LOS,H2,-31.24
155.00,199.00,0.00,199.00,LOS2_galeria,LOS,H2,-32.53
156.00,201.22,0.00,201.22,LOS2_galeria,LOS,H2,-33.65
