time_s,x,y,serving_ap,rssi_dbm
3.00,14.01,0.00,H4,-30.76
4.00,10.01,0.00,C2,-44.42
5.00,6.01,0.00,C2,-42.36
6.00,2.03,0.06,C2,-39.58
7.00,0.00,3.19,C2,-33.65
8.00,0.00,7.19,C2,-20.52
9.00,0.00,10.97,C2,-29.79
10.00,0.00,14.97,C2,-36.66
11.00,0.00,18.97,C2,-40.36
12.00,0.66,21.56,C2,-42.48
13.00,3.69,24.16,C2,-45.22
14.00,6.73,26.77,C1,-46.77
15.00,9.76,29.38,C1,-46.91
16.00,10.49,30.00,C1,-46.95
17.00,10.49,30.00,C1,-46.95
18.00,10.49,30.00,C1,-46.95
19.00,10.03,29.60,C1,-46.92
20.00,6.99,27.00,C1,-46.78
21.00,3.96,24.39,C2,-45.42
22.00,0.92,21.78,C2,-42.76
23.00,0.00,23.77,C2,-43.33
24.00,0.00,27.77,C1,-43.57
25.00,0.00,31.77,C1,-41.25
26.00,0.00,35.77,C1,-38.01
27.00,0.00,39.77,C1,-32.61
28.00,0.00,43.77,C1,-20.52
29.00,0.00,47.77,C1,-32.50
30.00,0.00,51.77,C1,-37.96
31.00,0.00,55.77,H2,-38.86
32.00,0.00,59.77,H2,-37.79
33.00,0.00,63.77,H2,-36.56
34.00,0.00,67.77,H2,-35.11
35.00,0.00,71.77,H2,-33.36
36.00,0.00,75.77,H2,-31.14
37.00,0.00,79.77,H2,-28.09
38.00,0.00,83.77,H2,-23.18
39.00,0.00,87.77,H2,-10.02
40.00,0.00,91.77,H2,-19.80
41.00,0.00,95.77,H2,-26.39
42.00,0.00,99.77,H2,-30.01
43.00,0.00,103.77,H2,-32.51
44.00,0.00,107.77,H2,-34.44
45.00,0.00,111.77,H2,-35.99
46.00,0.00,115.77,H1,-34.46
47.00,0.00,119.77,H1,-32.55
48.00,0.00,123.77,H1,-30.05
49.00,0.00,127.77,H1,-26.45
50.00,0.00,131.77,H1,-19.94
51.00,0.00,135.77,H1,-10.59
52.00,0.00,139.77,H1,-23.42
53.00,0.00,143.77,H1,-28.22
54.00,0.00,147.77,H1,-31.23
55.00,0.00,151.77,H1,-33.43
56.00,0.00,155.77,H1,-35.17
57.00,0.00,159.77,H1,-36.61
58.00,0.00,160.80,H1,-36.94
59.00,0.00,160.80,H1,-36.94
60.00,0.00,160.80,H1,-36.94
61.00,0.00,159.15,H1,-36.40
62.00,0.00,155.15,H1,-34.92
63.00,0.00,151.15,H1,-33.13
64.00,0.00,147.15,H1,-30.83
65.00,0.00,143.15,H1,-27.63
66.00,0.00,139.15,H1,-22.34
67.00,1.20,135.66,H1,-16.36
68.00,4.85,134.80,H1,-23.55
69.00,8.85,134.80,H1,-28.29
70.00,12.85,134.80,H1,-31.28
71.00,16.85,134.80,C3,-42.84
72.00,20.85,134.80,C3,-40.27
73.00,24.85,134.80,C3,-36.52
74.00,28.85,134.80,C3,-38.36
75.00,32.85,134.80,C3,-41.49
76.00,36.85,134.80,C3,-43.75
77.00,40.85,134.80,C7,-43.73
78.00,44.85,134.80,C7,-41.46
79.00,48.85,134.80,C7,-38.32
80.00,51.97,134.84,C7,-34.72
81.00,51.96,131.11,C7,-25.59
82.00,50.71,128.79,C7,-28.39
83.00,47.68,126.18,C7,-37.92
84.00,44.65,123.58,C7,-42.22
85.00,41.61,120.97,H5,-42.83
86.00,41.47,120.85,H5,-42.84
87.00,41.47,120.85,H5,-42.84
88.00,41.47,120.85,H5,-42.84
89.00,42.52,121.75,H5,-42.79
90.00,45.55,124.36,C7,-41.15
91.00,48.59,126.96,C7,-36.03
92.00,51.62,129.57,C7,-20.52
93.00,51.55,133.22,C7,-32.69
94.00,48.18,134.80,C7,-38.94
95.00,44.18,134.80,C7,-41.88
96.00,40.18,134.80,C7,-44.05
