time_s,x,y,serving_ap,rssi_dbm
3.00,-53.34,134.85,H1,-44.78
4.00,-51.12,134.85,H1,-44.15
5.00,-48.90,134.85,H1,-43.50
6.00,-46.68,134.85,H1,-42.82
7.00,-44.46,134.85,H1,-42.10
8.00,-42.24,134.85,H1,-41.35
9.00,-40.02,134.85,H1,-40.56
10.00,-37.80,134.85,H1,-40.05
11.00,-35.58,134.85,H1,-39.55
12.00,-33.36,134.85,H1,-39.02
13.00,-31.14,134.85,H1,-38.46
14.00,-28.92,134.85,H1,-37.85
15.00,-26.70,134.85,H1,-37.20
16.00,-24.48,134.85,H1,-36.49
17.00,-22.26,134.85,H1,-35.72
18.00,-20.04,134.85,H1,-34.86
19.00,-17.82,134.85,H1,-33.90
20.00,-15.60,134.85,H1,-32.82
21.00,-13.38,134.85,H1,-31.58
22.00,-11.16,134.85,H1,-30.11
23.00,-8.94,134.85,H1,-28.32
24.00,-6.72,134.85,H1,-26.04
25.00,-4.50,134.85,H1,-22.88
26.00,-2.28,134.85,H1,-17.68
27.00,-0.06,134.85,H1,-10.02
28.00,0.00,132.69,H1,-17.28
29.00,0.00,130.47,H1,-22.67
30.00,0.00,128.25,H1,-25.90
31.00,0.00,126.03,H1,-28.22
32.00,0.00,123.81,H1,-30.02
33.00,0.00,121.59,H1,-31.50
34.00,0.00,119.37,H1,-32.76
35.00,0.00,117.15,H1,-33.85
36.00,0.00,114.93,H1,-34.81
37.00,0.00,112.71,H1,-35.67
38.00,0.00,110.49,H2,-35.52
39.00,0.00,108.27,H2,-34.65
40.00,0.00,106.05,H2,-33.66
41.00,0.00,103.83,H2,-32.55
42.00,0.00,101.61,H2,-31.26
43.00,0.00,99.39,H2,-29.72
44.00,0.00,97.17,H2,-27.84
45.00,0.00,94.95,H2,-25.40
46.00,0.00,92.73,H2,-21.92
47.00,0.00,90.51,H2,-15.78
48.00,0.00,88.29,H2,-10.02
49.00,0.00,86.07,H2,-18.00
50.00,0.00,83.85,H2,-23.05
51.00,0.00,81.63,H2,-26.16
52.00,0.00,79.41,H2,-28.41
53.00,0.00,77.19,H2,-30.18
54.00,0.00,74.97,H2,-31.64
55.00,0.00,72.75,H2,-32.87
56.00,0.00,70.53,H2,-33.95
57.00,0.00,68.31,H2,-34.90
58.00,0.00,66.09,H2,-35.75
59.00,0.00,63.87,H2,-36.53
60.00,0.00,61.65,H2,-37.23
61.00,0.00,59.43,H2,-37.88
62.00,0.00,57.21,H2,-38.49
63.00,0.00,54.99,H2,-39.05
64.00,0.00,52.77,C1,-38.90
65.00,0.00,50.55,C1,-36.64
66.00,0.00,48.33,C1,-33.52
67.00,0.00,46.11,C1,-28.44
68.00,0.00,43.89,C1,-20.52
69.00,0.00,41.67,C1,-27.85
