time_s,x,y,serving_ap,rssi_dbm
3.00,19.35,0.00,H4,-26.09
4.00,17.13,0.00,H4,-28.36
5.00,14.91,0.00,H4,-30.14
6.00,12.69,0.00,C2,-45.56
7.00,10.47,0.00,C2,-44.63
8.00,8.25,0.00,C2,-43.58
9.00,6.03,0.00,C2,-42.37
10.00,3.81,0.00,C2,-40.96
11.00,1.73,0.35,C2,-39.08
12.00,0.12,1.88,C2,-35.76
13.00,0.00,4.05,C2,-32.06
14.00,0.00,6.27,C2,-25.50
15.00,0.00,8.49,C2,-20.52
16.00,0.00,10.59,C2,-28.68
17.00,0.00,12.71,C2,-33.48
18.00,0.00,14.93,C2,-36.61
19.00,0.00,17.15,C2,-38.88
20.00,0.00,19.37,C2,-40.65
21.00,0.00,20.99,C2,-41.74
22.00,1.30,22.10,C2,-43.14
23.00,2.98,23.55,C2,-44.66
24.00,4.66,25.00,C2,-45.94
25.00,6.35,26.44,C1,-46.75
26.00,8.03,27.89,C1,-46.83
27.00,9.72,29.34,C1,-46.91
28.00,10.49,30.00,C1,-46.95
29.00,10.49,30.00,C1,-46.95
30.00,10.49,30.00,C1,-46.95
31.00,10.49,30.00,C1,-46.95
32.00,10.49,30.00,C1,-46.95
33.00,10.49,30.00,C1,-46.95
34.00,10.42,29.94,C1,-46.94
35.00,8.74,28.49,C1,-46.86
36.00,7.05,27.05,C1,-46.78
37.00,5.37,25.60,C2,-46.42
38.00,3.68,24.15,C2,-45.22
39.00,2.00,22.71,C2,-43.81
40.00,0.32,21.26,C2,-42.11
41.00,0.00,22.79,C2,-42.81
42.00,0.00,25.01,C2,-43.95
43.00,0.00,27.23,C1,-43.84
44.00,0.00,29.45,C1,-42.67
45.00,0.00,31.67,C1,-41.31
46.00,0.00,33.89,C1,-39.69
47.00,0.00,36.11,C1,-37.67
48.00,0.00,38.33,C1,-34.98
49.00,0.00,40.55,C1,-30.97
50.00,0.00,42.77,C1,-22.86
51.00,0.00,44.99,C1,-23.83
52.00,0.00,47.21,C1,-31.34
53.00,0.00,49.43,C1,-35.21
54.00,0.00,51.65,C1,-37.84
55.00,0.00,53.87,H2,-39.32
56.00,0.00,56.09,H2,-38.77
57.00,0.00,58.31,H2,-38.19
58.00,0.00,60.53,H2,-37.57
59.00,0.00,62.75,H2,-36.89
60.00,0.00,64.97,H2,-36.15
61.00,0.00,67.19,H2,-35.34
62.00,0.00,69.41,H2,-34.44
63.00,0.00,71.63,H2,-33.43
64.00,0.00,73.85,H2,-32.28
65.00,0.00,76.07,H2,-30.95
66.00,0.00,78.29,H2,-29.35
67.00,0.00,80.51,H2,-27.37
68.00,0.00,82.73,H2,-24.76
69.00,0.00,84.95,H2,-20.92
70.00,0.00,87.17,H2,-13.52
71.00,0.00,89.39,H2,-10.02
72.00,0.00,91.61,H2,-19.39
73.00,0.00,93.83,H2,-23.83
74.00,0.00,96.05,H2,-26.70
75.00,0.00,98.27,H2,-28.83
76.00,0.00,100.49,H2,-30.52
77.00,0.00,102.71,H2,-31.92
78.00,0.00,104.93,H2,-33.12
79.00,0.00,107.15,H2,-34.17
80.00,0.00,109.37,H2,-35.09
81.00,0.00,111.59,H2,-35.93
82.00,0.00,113.81,H1,-35.26
83.00,0.00,116.03,H1,-34.35
84.00,0.00,118.25,H1,-33.33
85.00,0.00,120.47,H1,-32.16
86.00,0.00,122.69,H1,-30.80
87.00,0.00,124.91,H1,-29.18
88.00,0.00,127.13,H1,-27.15
89.00,0.00,129.35,H1,-24.45
90.00,0.00,131.57,H1,-20.42
91.00,0.00,133.79,H1,-12.24
92.00,0.00,136.01,H1,-12.26
93.00,0.00,138.23,H1,-20.43
94.00,0.00,140.45,H1,-24.46
95.00,0.00,142.67,H1,-27.15
96.00,0.00,144.89,H1,-29.18
97.00,0.00,147.11,H1,-30.80
98.00,0.00,149.33,H1,-32.16
99.00,0.00,151.55,H1,-33.33
100.00,0.00,153.77,H1,-34.35
101.00,0.00,155.99,H1,-35.26
102.00,0.00,158.21,H1,-36.08
103.00,0.00,160.43,H1,-36.82
104.00,0.00,160.80,H1,-36.94
105.00,0.00,160.80,H1,-36.94
106.00,0.00,160.80,H1,-36.94
107.00,0.00,160.80,H1,-36.94
108.00,0.00,160.80,H1,-36.94
109.00,0.00,160.80,H1,-36.94
110.00,0.00,158.95,H1,-36.33
111.00,0.00,156.73,H1,-35.54
112.00,0.00,154.51,H1,-34.66
113.00,0.00,152.29,H1,-33.68
114.00,0.00,150.07,H1,-32.57
115.00,0.00,147.85,H1,-31.28
116.00,0.00,145.63,H1,-29.75
117.00,0.00,143.41,H1,-27.88
118.00,0.00,141.19,H1,-25.45
119.00,0.00,138.97,H1,-22.00
120.00,0.04,136.76,H1,-16.15
121.00,1.64,135.23,H1,-16.45
122.00,3.69,134.80,H1,-21.44
123.00,5.91,134.80,H1,-25.09
124.00,8.13,134.80,H1,-27.61
125.00,10.35,134.80,H1,-29.54
126.00,12.57,134.80,H1,-31.10
127.00,14.79,134.80,C3,-43.90
128.00,17.01,134.80,C3,-42.75
129.00,19.23,134.80,C3,-41.41
130.00,21.45,134.80,C3,-39.80
131.00,23.67,134.80,C3,-37.81
132.00,25.89,134.80,C3,-35.18
133.00,28.11,134.80,C3,-37.63
134.00,30.33,134.80,C3,-39.66
135.00,32.55,134.80,C3,-41.29
136.00,34.77,134.80,C3,-42.65
137.00,36.99,134.80,C3,-43.82
138.00,39.21,134.80,C7,-44.50
139.00,41.43,134.80,C7,-43.43
140.00,43.65,134.80,C7,-42.21
141.00,45.87,134.80,C7,-40.77
142.00,48.09,134.80,C7,-39.02
143.00,50.31,134.80,C7,-36.80
144.00,51.98,134.82,C7,-34.71
145.00,51.96,133.21,C7,-31.85
146.00,51.96,130.99,C7,-25.03
147.00,51.96,129.86,C7,-20.52
148.00,50.29,128.43,C7,-30.58
149.00,48.61,126.98,C7,-35.99
150.00,46.92,125.53,C7,-39.22
151.00,45.24,124.09,C7,-41.54
152.00,43.55,122.64,H5,-42.74
153.00,41.87,121.19,H5,-42.82
154.00,41.47,120.85,H5,-42.84
155.00,41.47,120.85,H5,-42.84
156.00,41.47,120.85,H5,-42.84
157.00,41.47,120.85,H5,-42.84
158.00,41.47,120.85,H5,-42.84
159.00,41.47,120.85,H5,-42.84
160.00,41.91,121.23,H5,-42.82
161.00,43.60,122.68,H5,-42.74
162.00,45.28,124.12,C7,-41.49
163.00,46.97,125.57,C7,-39.15
164.00,48.65,127.02,C7,-35.88
165.00,50.33,128.46,C7,-30.38
166.00,51.96,129.94,C7,-20.52
167.00,51.99,132.16,C7,-29.38
168.00,50.86,133.89,C7,-34.92
169.00,49.00,134.80,C7,-38.18
170.00,46.78,134.80,C7,-40.09
171.00,44.56,134.80,C7,-41.65
172.00,42.34,134.80,C7,-42.95
173.00,40.12,134.80,C7,-44.08
174.00,37.90,134.80,C3,-44.25
175.00,35.68,134.80,C3,-43.15
176.00,33.46,134.80,C3,-41.88
177.00,31.24,134.80,C3,-40.37
178.00,29.02,134.80,C3,-38.53
179.00,26.91,134.97,C3,-36.49
180.00,26.00,136.98,C3,-37.70
181.00,26.00,139.20,C3,-39.72
182.00,26.00,141.42,C3,-41.34
183.00,26.00,143.64,C3,-42.69
184.00,26.00,145.86,H1,-42.44
185.00,26.00,148.08,H1,-41.14
186.00,26.00,150.30,H1,-39.58
187.00,26.00,152.52,H1,-37.66
188.00,26.00,154.74,H1,-35.16
189.00,26.00,156.96,H1,-31.54
190.00,26.00,159.18,H1,-24.96
191.00,26.00,160.80,H1,-20.02
192.00,26.00,160.80,H1,-20.02
193.00,26.00,160.80,H1,-20.02
194.00,26.00,160.80,H1,-20.02
195.00,26.00,160.80,H1,-20.02
196.00,26.00,160.80,H1,-20.02
197.00,25.80,131.86,C3,-29.73
198.00,25.07,24.66,C5,-32.91
199.00,23.19,0.00,H4,-19.54
200.00,20.97,0.00,H4,-23.92
201.00,18.75,0.00,H4,-26.77
202.00,16.53,0.00,H4,-28.88
203.00,14.31,0.00,H4,-30.56
204.00,12.09,0.00,C2,-45.32
205.00,9.87,0.00,C2,-44.36
206.00,7.65,0.00,C2,-43.27
207.00,5.43,0.00,C2,-42.02
208.00,3.21,0.00,C2,-40.54
209.00,1.30,0.77,C2,-38.31
210.00,0.00,2.43,C2,-34.84
211.00,0.00,4.65,C2,-30.74
212.00,0.00,6.87,C2,-22.23
213.00,0.00,9.09,C2,-21.96
214.00,0.00,11.09,C2,-30.09
215.00,0.00,13.31,C2,-34.45
216.00,0.00,15.53,C2,-37.29
217.00,0.00,17.75,C2,-39.40
218.00,0.00,19.97,C2,-41.07
219.00,0.07,21.05,C2,-41.82
220.00,1.75,22.49,C2,-43.58
221.00,3.44,23.94,C2,-45.02
222.00,5.12,25.39,C2,-46.25
223.00,6.80,26.83,C1,-46.77
224.00,8.49,28.28,C1,-46.85
225.00,10.17,29.73,C1,-46.93
226.00,10.49,30.00,C1,-46.95
227.00,10.49,30.00,C1,-46.95
228.00,10.49,30.00,C1,-46.95
229.00,10.49,30.00,C1,-46.95
230.00,10.49,30.00,C1,-46.95
231.00,10.49,30.00,C1,-46.95
232.00,9.97,29.55,C1,-46.92
233.00,8.28,28.10,C1,-46.84
234.00,6.60,26.66,C1,-46.76
235.00,4.91,25.21,C2,-46.11
236.00,3.23,23.76,C2,-44.86
237.00,1.55,22.32,C2,-43.38
238.00,0.00,21.17,C2,-41.86
239.00,0.00,23.39,C2,-43.13
240.00,0.00,25.61,C2,-44.24
241.00,0.00,27.83,C1,-43.54
242.00,0.00,30.05,C1,-42.33
243.00,0.00,32.27,C1,-40.91
244.00,0.00,34.49,C1,-39.19
245.00,0.00,36.71,C1,-37.02
246.00,0.00,38.93,C1,-34.08
247.00,0.00,41.15,C1,-29.44
248.00,0.00,43.37,C1,-20.52
249.00,0.00,45.59,C1,-26.61
250.00,0.00,47.81,C1,-32.58
251.00,0.00,50.03,C1,-36.01
252.00,0.00,52.25,C1,-38.42
253.00,0.00,54.47,H2,-39.17
254.00,0.00,56.69,H2,-38.62
255.00,0.00,58.91,H2,-38.03
256.00,0.00,61.13,H2,-37.39
257.00,0.00,63.35,H2,-36.70
258.00,0.00,65.57,H2,-35.94
259.00,0.00,67.79,H2,-35.11
260.00,0.00,70.01,H2,-34.18
261.00,0.00,72.23,H2,-33.14
262.00,0.00,74.45,H2,-31.94
263.00,0.00,76.67,H2,-30.55
264.00,0.00,78.89,H2,-28.86
265.00,0.00,81.11,H2,-26.75
266.00,0.00,83.33,H2,-23.89
267.00,0.00,85.55,H2,-19.48
268.00,0.00,87.77,H2,-10.02
269.00,0.00,89.99,H2,-13.32
270.00,0.00,92.21,H2,-20.84
271.00,0.00,94.43,H2,-24.71
272.00,0.00,96.65,H2,-27.33
273.00,0.00,98.87,H2,-29.32
274.00,0.00,101.09,H2,-30.92
275.00,0.00,103.31,H2,-32.26
276.00,0.00,105.53,H2,-33.41
277.00,0.00,107.75,H2,-34.43
278.00,0.00,109.97,H2,-35.33
279.00,0.00,112.19,H1,-35.86
280.00,0.00,114.41,H1,-35.02
281.00,0.00,116.63,H1,-34.08
282.00,0.00,118.85,H1,-33.03
283.00,0.00,121.07,H1,-31.81
284.00,0.00,123.29,H1,-30.39
285.00,0.00,125.51,H1,-28.67
286.00,0.00,127.73,H1,-26.50
287.00,0.00,129.95,H1,-23.54
288.00,0.00,132.17,H1,-18.89
289.00,0.00,134.39,H1,-10.02
290.00,0.00,136.61,H1,-15.37
291.00,0.00,138.83,H1,-21.73
292.00,0.00,141.05,H1,-25.27
293.00,0.00,143.27,H1,-27.75
294.00,0.00,145.49,H1,-29.65
295.00,0.00,147.71,H1,-31.19
296.00,0.00,149.93,H1,-32.49
297.00,0.00,152.15,H1,-33.62
298.00,0.00,154.37,H1,-34.60
299.00,0.00,156.59,H1,-35.49
300.00,0.00,158.81,H1,-36.28
301.00,0.00,160.80,H1,-36.94
302.00,0.00,160.80,H1,-36.94
303.00,0.00,160.80,H1,-36.94
304.00,0.00,160.80,H1,-36.94
305.00,0.00,160.80,H1,-36.94
306.00,0.00,160.80,H1,-36.94
307.00,0.00,160.57,H1,-36.86
308.00,0.00,158.35,H1,-36.12
309.00,0.00,156.13,H1,-35.31
