time_s,pos_x_m,zona,hawk_cercano,dist_hawk_m,rssi_est_dbm,nlos
3.00,6.66,LOS,0,6.66,-32.07,0
4.00,8.88,LOS,0,8.88,-34.44,0
5.00,11.10,LOS,0,11.10,-36.28,0
6.00,13.32,LOS,0,13.32,-37.79,0
7.00,15.54,LOS,0,15.54,-39.06,0
8.00,17.76,LOS,0,17.76,-40.16,0
9.00,19.98,LOS,0,19.98,-41.13,0
10.00,22.20,LOS,0,22.20,-42.00,0
11.00,24.42,LOS,0,24.42,-42.79,0
12.00,26.64,LOS,1,22.26,-42.02,0
13.00,28.86,LOS,1,20.04,-41.16,0
14.00,31.08,LOS,1,17.82,-40.19,0
15.00,33.30,LOS,1,15.60,-39.09,0
16.00,35.52,LOS,1,13.38,-37.82,0
17.00,37.74,LOS,1,11.16,-36.33,0
18.00,39.96,Giro-D-GaleriaPrincipal,1,8.94,-44.50,1
19.00,42.18,Giro-D-GaleriaPrincipal,1,6.72,-42.14,1
20.00,44.40,Giro-D-GaleriaPrincipal,1,4.50,-38.83,1
21.00,46.62,Giro-D-GaleriaPrincipal,1,2.28,-33.22,1
22.00,48.84,Giro-D-GaleriaPrincipal,1,0.06,-26.42,1
23.00,51.06,Giro-D-GaleriaPrincipal,1,2.16,-32.78,1
24.00,53.28,Giro-D-GaleriaPrincipal,1,4.38,-38.61,1
25.00,55.50,Giro-D-GaleriaPrincipal,1,6.60,-41.99,1
26.00,57.72,Giro-D-GaleriaPrincipal,1,8.82,-44.39,1
27.00,59.94,LOS,1,11.04,-36.24,0
28.00,62.16,LOS,1,13.26,-37.75,0
29.00,64.38,LOS,1,15.48,-39.03,0
30.00,66.60,LOS,1,17.70,-40.13,0
31.00,68.82,LOS,1,19.92,-41.11,0
32.00,71.04,LOS,1,22.14,-41.98,0
33.00,73.26,LOS,1,24.36,-42.77,0
34.00,75.48,LOS,1,26.58,-43.49,0
35.00,77.70,LOS,1,28.80,-44.15,0
36.00,79.92,LOS,1,31.02,-44.76,0
37.00,82.14,LOS,1,33.24,-45.33,0
38.00,84.36,LOS,1,35.46,-45.87,0
39.00,86.58,LOS,1,37.68,-46.37,0
40.00,88.80,LOS,1,39.90,-46.84,0
41.00,91.02,LOS,1,42.12,-47.62,0
42.00,93.24,LOS,1,44.34,-48.38,0
43.00,95.46,LOS,1,46.56,-49.10,0
44.00,97.68,LOS,1,48.78,-49.79,0
45.00,99.90,LOS,1,51.00,-50.45,0
46.00,102.12,LOS,1,53.22,-51.08,0
47.00,104.34,LOS,1,55.44,-51.68,0
48.00,106.56,LOS,1,57.66,-52.26,0
49.00,108.78,LOS,1,59.88,-52.82,0
50.00,111.00,LOS,1,62.10,-53.36,0
51.00,113.22,LOS,1,64.32,-53.87,0
52.00,115.44,LOS,1,66.54,-54.38,0
53.00,117.66,LOS,2,66.04,-54.26,0
54.00,119.88,LOS,2,63.82,-53.76,0
55.00,122.10,LOS,2,61.60,-53.24,0
56.00,124.32,LOS,2,59.38,-52.69,0
57.00,126.54,LOS,2,57.16,-52.13,0
58.00,128.76,LOS,2,54.94,-51.55,0
59.00,130.98,LOS,2,52.72,-50.94,0
60.00,133.20,LOS,2,50.50,-50.30,0
61.00,135.42,LOS,2,48.28,-49.64,0
62.00,137.64,LOS,2,46.06,-48.94,0
63.00,139.86,LOS,2,43.84,-48.21,0
64.00,142.08,LOS,2,41.62,-47.45,0
65.00,144.30,LOS,2,39.40,-46.74,0
66.00,146.52,LOS,2,37.18,-46.26,0
67.00,148.74,LOS,2,34.96,-45.75,0
68.00,150.96,LOS,2,32.74,-45.21,0
69.00,153.18,LOS,2,30.52,-44.63,0
70.00,155.40,LOS,2,28.30,-44.01,0
71.00,157.62,LOS,2,26.08,-43.33,0
72.00,159.84,LOS,2,23.86,-42.60,0
73.00,162.06,LOS,2,21.64,-41.79,0
74.00,164.28,LOS,2,19.42,-40.90,0
75.00,166.50,LOS,2,17.20,-39.90,0
76.00,168.72,LOS,2,14.98,-38.76,0
77.00,170.94,LOS,2,12.76,-37.43,0
78.00,173.16,LOS,2,10.54,-35.86,0
79.00,175.38,Giro-D-RamalBP,2,8.32,-43.90,1
80.00,177.60,Giro-D-RamalBP,2,6.10,-41.34,1
81.00,179.82,Giro-D-RamalBP,2,3.88,-37.61,1
82.00,182.04,Giro-D-RamalBP,2,1.66,-30.60,1
83.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
84.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
85.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
86.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
87.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
88.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
89.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
90.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
91.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
92.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
93.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
94.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
95.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
96.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
97.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
98.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
99.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
100.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
101.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
102.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
103.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
104.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
105.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
106.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
107.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
108.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
109.00,183.70,Giro-D-RamalBP,2,0.00,-26.42,1
